,Unnamed: 0,datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2440,2440,2019,Beijing,36.0,19.0,27.2,35.1,19.0,27.1,16.1,56.1,0.0,0,0.0,,0.0,0.0,,14.4,197.4,1002.9,1.3,9.6,242.5,21.1,8,,2019-09-07T05:47:09,2019-09-07T18:37:34,0.26,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
3502,3502,2022,Beijing,36.0,25.0,30.3,48.1,25.0,37.8,79.4,80.9,0.433,100,4.17,rain,0.0,0.0,26.8,15.7,138.7,1003.6,43.0,5.6,295.8,25.6,9,60.0,2022-08-04T05:15:24,2022-08-04T19:25:15,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,precipitation,"ZBAA,54511099999"
3501,3501,2022,Beijing,36.0,27.4,31.3,43.3,32.8,38.9,78.6,74.8,0.0,0,0.0,rain,0.0,0.0,17.7,11.2,171.1,1005.5,53.3,5.2,290.4,24.8,9,30.0,2022-08-03T05:14:28,2022-08-03T19:26:21,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
2010,2010,2018,Beijing,36.0,24.0,29.9,38.9,24.0,31.8,20.8,60.5,0.0,0,0.0,,0.0,0.0,32.4,14.4,181.6,997.3,39.4,9.4,271.6,23.3,8,,2018-07-04T04:50:59,2018-07-04T19:46:25,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3460,3460,2022,Beijing,36.0,21.7,27.7,36.1,21.7,28.0,64.9,61.6,0.0,0,0.0,rain,0.0,0.0,31.5,15.9,313.9,997.8,7.4,6.7,337.0,29.3,10,10.0,2022-06-23T04:46:33,2022-06-23T19:46:43,0.8,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
182,182,2013,Beijing,36.0,21.0,28.8,35.8,21.0,29.0,17.4,54.9,37.1,100,8.33,rain,,,39.6,25.2,294.3,994.9,29.9,22.3,344.3,29.9,10,,2013-07-02T04:50:02,2013-07-02T19:46:43,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,precipitation,"ZBAA,54511099999"
558,558,2014,Beijing,36.0,21.0,28.0,34.8,21.0,27.5,14.2,45.9,16.0,100,4.17,rain,,,,39.6,359.5,1002.0,10.8,18.3,342.3,29.4,10,,2014-07-13T04:56:40,2014-07-13T19:43:17,0.52,Rain,Clear conditions throughout the day with late afternoon rain.,precipitation,"ZBAA,54511099999"
2036,2036,2018,Beijing,36.0,27.0,31.1,44.6,31.2,37.7,25.4,73.5,0.0,0,0.0,,0.0,0.0,,10.8,126.6,1004.8,24.4,6.7,278.2,24.1,8,,2018-07-30T05:10:45,2018-07-30T19:30:30,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
2027,2027,2018,Beijing,36.0,28.0,31.4,45.5,33.6,39.0,25.7,73.0,0.0,0,0.0,,0.0,0.0,,21.6,141.6,1003.6,37.7,8.0,288.5,24.7,8,,2018-07-21T05:02:55,2018-07-21T19:38:20,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
573,573,2014,Beijing,36.0,24.0,29.8,36.8,24.0,30.9,19.7,57.4,0.0,0,0.0,,,,32.4,25.2,183.7,1003.9,12.9,5.8,288.5,24.9,9,,2014-07-28T05:08:55,2014-07-28T19:32:27,0.04,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
